id,Campaign title,Subject,Audience,Send Date,Send Day,Total Recipients,Total Bounces,Unique Opens,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribed,Abuse Complaints,Total Revenue
72df4aa084,11 things NOT to do on move-in day,11 things NOT to do on college move-in day,Grown & Flown Email Subscription,8/21/2022,Sunday,152885,167,77772,109667,9455,0.049077384,10818,157,9,0
656556f5a3,"Parents, don't look away","Parents, don't look away",Grown & Flown Email Subscription,8/18/2022,Thursday,152741,165,77775,108754,4226,0.022546141,4920,158,5,0
cebcbdc570,Five questions to ask your teen to help them learn to self-advocate,Five questions to ask your teen to help them learn to self-advocate,Grown & Flown Email Subscription,8/16/2022,Tuesday,152663,189,79384,115194,7933,0.038931228,9199,154,3,0
e9d830c441,10 pre-college convos to have with your teens,10 pre-college convos to have with your teens,Grown & Flown Email Subscription,8/14/2022,Sunday,152230,241,76933,111789,10150,0.049365415,11862,154,19,0
d025db33a6,7 things NOT to do after college drop off (trust us),7 things NOT to do after college drop off (trust us),Grown & Flown Email Subscription,8/11/2022,Thursday,152133,149,77682,111951,11775,0.061493315,13431,118,11,0
464ba83f20,Don't bring these 10 things to college — according to a college senior,10 things to NOT bring to college — according to a college senior,Grown & Flown Email Subscription,8/9/2022,Tuesday,152052,151,77581,111732,12471,0.066694755,14023,151,5,0
d90535f12f,14 adorable gifts for the pet lovers in your life,14 adorable gifts for the pet lovers in your life,Grown & Flown Email Subscription,8/7/2022,Sunday,151776,160,72661,98061,3275,0.017359645,3835,160,7,0
36204279f3,Merit aid for college,Merit aid for college,Grown & Flown Email Subscription,8/4/2022,Thursday,151425,161,72421,103479,2646,0.014081341,3033,113,10,0
2c06cefc2d,Why we love Jennifer Garner even more than before,Why we love Jennifer Garner even more than before ❤,Grown & Flown Email Subscription,8/2/2022,Tuesday,151244,157,74679,104291,7718,0.03689927,9159,105,8,0
e5d07421fe,"Why you should avoid ""We Parenting""","Why you should avoid ""We Parenting""",Grown & Flown Email Subscription,7/31/2022,Sunday,151075,157,71580,99314,7294,0.037636332,8232,111,4,0
decb4297f1,Social media app every parent needs to know about,Social media app every parent needs to know about,Grown & Flown Email Subscription,7/28/2022,Thursday,149982,130,75619,111164,10267,0.050529856,11732,125,8,0
5d0e13ac17,We are in our last year with our last child,We are in our last year with our last child. Why do I feel so sad?,Grown & Flown Email Subscription,7/26/2022,Tuesday,149836,122,67632,94673,4266,0.023023899,5240,127,2,0
0f6f668226,How to ask your teen questions without annoying them,How to ask your teen questions without annoying them,Grown & Flown Email Subscription,7/24/2022,Sunday,149700,141,71332,103068,7832,0.041241249,9320,111,8,0
9919cfe9a7,College: 7 big talks to have before they leave A/B Test,,Grown & Flown Email Subscription,7/21/2022,Thursday,149343,119,64241,95921,0,0.04191685,9709,99,5,0
bd3c0d9000,Teens sleeping until 2? Let it go,Teens sleeping until 2? Let it go,Grown & Flown Email Subscription,7/19/2022,Tuesday,149238,122,69230,97816,5095,0.029420049,5890,99,9,0
1168670864,What makes a dorm shopping list so much more than just a list,What makes a dorm shopping list so much more than just a list,Grown & Flown Email Subscription,7/17/2022,Sunday,148588,106,69901,96971,6391,0.034320658,7636,117,8,0
1310970424,This is the REAL reason why it hurts when our teens leave home (copy 01),This is the REAL reason why it hurts when our teens leave home,Grown & Flown Email Subscription,7/16/2022,Saturday,82427,103,12180,15494,742,0.00828434,887,47,5,0
706155fd05,This is the REAL reason why it hurts when our teens leave home,This is the REAL reason why it hurts when our teens leave home,Grown & Flown Email Subscription,7/14/2022,Thursday,148417,173,70835,99894,4136,0.025215186,4766,127,8,0
756c5dfb37,Here are the Amazon Prime deals we found for you,Here are the Amazon Prime deals we found for you,Grown & Flown Email Subscription,7/12/2022,Tuesday,148021,99,71201,102813,10053,0.062161139,13887,78,12,0
b17be6178c,Why teens soil the nest before they leave home,Why teens 'soil the nest' before they leave home,Grown & Flown Email Subscription,7/10/2022,Sunday,147880,108,68438,97471,8655,0.047261998,10430,92,7,0
ab3cd78c01,Parents of teens: Nothing is more important than this,Parents of teens: Nothing is more important than this,Grown & Flown Email Subscription,7/7/2022,Thursday,147697,115,69408,98106,4551,0.026764782,5418,92,5,0
a54d49efc6,Paying for college: 15 mistakes to avoid,Paying for college: 15 mistakes to avoid,Grown & Flown Email Subscription,7/5/2022,Tuesday,147576,105,67752,98265,8247,0.044395169,9502,112,11,0
1a3056a28c,Here's what I got wrong about parenting teens,What I got wrong about parenting teens,Grown & Flown Email Subscription,7/3/2022,Sunday,147555,116,69463,97371,5385,0.028913652,6261,131,33,0
bb678b55cb,July 4th sales for you and your family,July 4th sales for you and your family,Grown & Flown Email Subscription,7/1/2022,Friday,147313,172,63024,87343,2849,0.011546748,3376,109,15,0
3325b91db1,9 things we want our youngest to know,9 things about high school we want our youngest to know,Grown & Flown Email Subscription,6/30/2022,Thursday,147407,254,68005,94133,2998,0.015772699,3525,159,7,0
782d06de96,Six things I want my son to know as he begins to step away from us,Six things I want my son to know as he begins to step away from us,Grown & Flown Email Subscription,6/28/2022,Tuesday,147371,190,69520,98366,5870,0.032273187,6960,126,37,0
4a041547c1,Expert explains how to prepare for college applications this summer,Expert explains how to prepare for college applications this summer,Grown & Flown Email Subscription,6/26/2022,Sunday,146927,122,70083,96877,3088,0.016525323,3605,146,9,0
e7fc9e5205,6 things you should never do as a parent of a college student,6 things you should never do as parents of college students,Grown & Flown Email Subscription,6/23/2022,Thursday,146382,136,69651,98108,9206,0.051803126,10391,104,4,0
337d7fce5c,20 life lessons I want my 20-yr-old to learn,20 life lessons I want my 20-yr-old to learn,Grown & Flown Email Subscription,6/21/2022,Tuesday,146100,2476,65180,91502,4514,0.026520637,5410,104,7,0
b1e7ba5b90,Gifts our fathers give us,Gifts our fathers give us,Grown & Flown Email Subscription,6/19/2022,Sunday,145898,146,66118,88261,2515,0.012699654,2992,111,9,0
834774a155,What I plan to tell my kids about being a wild teen,What I plan to tell my kids about being a wild teen,Grown & Flown Email Subscription,6/16/2022,Thursday,145668,114,65917,90895,3397,0.018130728,3856,106,7,0
24322f7a17,Expert explains upcoming FAFSA changes,Expert explains upcoming FAFSA changes,Grown & Flown Email Subscription,6/14/2022,Tuesday,145539,3151,63913,93484,4595,0.027109026,5479,120,7,0
d77105919a,How to talk to your teens when they have friend problems,How to talk to teens when they have friend problems,Grown & Flown Email Subscription,6/12/2022,Sunday,145453,501,71429,98358,3433,0.019640985,3998,141,7,0
0dbe1bee6c,The days I wish I never became a mom,The days I wish I never became a mom,Grown & Flown Email Subscription,6/9/2022,Thursday,144628,7704,64458,88676,3479,0.021230756,4086,115,4,0
bf5cea41e4,What social media isn't telling us about high school students,What social media isn't telling us about high school students,Grown & Flown Email Subscription,6/7/2022,Tuesday,144610,13709,61044,85384,4081,0.025989106,4916,111,2,0
4e1bf3fa1e,What current college students want first years to know,What current college students want first years to know,Grown & Flown Email Subscription,6/5/2022,Sunday,144575,135,76872,108350,6468,0.034304902,7613,226,8,0
d5d1ddbe67,"What to look for in a college, from a former college dean","What to look for in a college, from a former college dean",Grown & Flown Email Subscription,6/2/2022,Thursday,144344,152,68352,93626,3510,0.017400411,4053,138,10,0
1f5495f844,What I wish I knew as a freshman,20 things I wish I knew as a freshman,Grown & Flown Email Subscription,5/31/2022,Tuesday,144302,159,69468,98635,5070,0.027583719,5878,128,15,0
44197d9f63,How to help your teen with college admissions — without doing too much,How to help your teen with college admissions — without doing too much,Grown & Flown Email Subscription,5/29/2022,Sunday,144016,136,70042,95973,2938,0.016958577,3406,128,9,0
afb70f955d,The worst years of parenting,The worst years of parenting,Grown & Flown Email Subscription,5/26/2022,Thursday,143927,128,71150,99245,4431,0.026843024,5225,87,7,0
e783672121,22 ways teens can boost their chance of admission,22 ways teens can boost their chance of admission,Grown & Flown Email Subscription,5/24/2022,Tuesday,143877,120,67640,93837,4352,0.023790146,5200,156,17,0
71721edd42,Middle school is now the new high school,Middle school is now the new high school,Grown & Flown Email Subscription,5/22/2022,Sunday,143706,127,71292,97199,5270,0.0320799,6156,122,10,0
e02fec5e7e,I picked the wrong college — & I never transferred,I picked the wrong college — & I never transferred,Grown & Flown Email Subscription,5/19/2022,Thursday,143060,122,70645,97529,6930,0.038842015,8163,97,7,0
c1e6a1e141,What my 20-something self would think of me now,What my 20-something self would think of me now,Grown & Flown Email Subscription,5/17/2022,Tuesday,142990,124,70028,96596,4786,0.025198438,5599,108,5,0
631ded46c4,3 things people get wrong about college readiness,3 things people get wrong about college readiness,Grown & Flown Email Subscription,5/15/2022,Sunday,142299,124,69758,96793,5263,0.030089678,6262,120,5,0
ce7b949ebd,50 things to do before your teen heads to college,50 things to do before your teen heads to college,Grown & Flown Email Subscription,5/12/2022,Thursday,142158,124,70703,102137,6519,0.035766084,8068,118,13,0
85a69120e6,Why teens tune out their moms,Why teens tune out their moms,Grown & Flown Email Subscription,5/10/2022,Tuesday,141025,112,68003,94301,5325,0.030919787,6172,95,22,0
14828ce965,Who do I call now?,Who do I call now?,Grown & Flown Email Subscription,5/8/2022,Sunday,140948,121,70576,96253,4027,0.021196219,4661,114,2,0
36923fb343,Follow your passion,"Why we need to rethink the advice ""follow your passion""",Grown & Flown Email Subscription,5/5/2022,Thursday,140786,111,70415,99447,5197,0.030844144,6187,119,10,0
acf64eb848,Why I stopped caring about how others judge my parenting,Why I stopped caring how others judge my parenting,Grown & Flown Email Subscription,5/3/2022,Tuesday,140735,134,58306,77493,3122,0.018008407,3791,76,37,0
db7d854ada,"Teens, it's time to clean up your own messes","Teens, it's time to clean up your own messes",Grown & Flown Email Subscription,5/1/2022,Sunday,140553,122,68370,94828,6414,0.033233403,7500,108,7,0
bf203ebe24,Saying goodbye to youth sports,"Why saying goodbye to youth sports is so hard, for parents",Grown & Flown Email Subscription,4/28/2022,Thursday,140323,115,67392,92396,4644,0.026075545,5798,113,3,0
bf33da46d1,The best parenting decision I ever made,The best parenting decision I ever made,Grown & Flown Email Subscription,4/26/2022,Tuesday,140278,125,67019,94911,8254,0.046449238,9749,119,39,0
e3d62f38af,"There is no ""correct path"" for teens","There is no  one ""correct"" path for teens",Grown & Flown Email Subscription,4/24/2022,Sunday,139896,118,68012,92569,3854,0.020961811,4491,132,3,0
ddfe0985b5,5 hard truths about college life in 2022,5 hard truths about college life in 2022,Grown & Flown Email Subscription,4/21/2022,Thursday,139625,119,67258,95476,10134,0.052449357,12136,111,6,0
58e1d9964d,Is your teen exhausted?,Is your teen exhausted and burned out?,Grown & Flown Email Subscription,4/19/2022,Tuesday,139535,114,72735,102898,5935,0.034248786,6827,178,2,0
031bf0cc67,I let my son quit sports — and here's what happened,I let my son quit sports — here's what happened,Grown & Flown Email Subscription,4/16/2022,Saturday,138596,122,67971,93742,5547,0.032771495,6903,109,5,0
34ed985fb1,To the senior who worries about life after college,To the senior worries about life after college,Grown & Flown Email Subscription,4/14/2022,Thursday,138303,131,64774,89930,3475,0.021567322,4036,97,8,0
f4a200d372,50 things teens can do once they turn 18,50 things teens can do once they turn 18,Grown & Flown Email Subscription,4/12/2022,Tuesday,137939,127,65296,92398,5434,0.03438017,6290,96,4,0
6484b93756,What to teach your teens before they leave home,Ten Things to Teach Your Teens Before They Leave Home,Grown & Flown Email Subscription,4/10/2022,Sunday,137069,103,67500,94977,7424,0.042280566,9045,131,7,0
aae05653af,The top 12 freshman mistakes — & how to avoid them,12 freshman mistakes — & how to avoid them,Grown & Flown Email Subscription,4/7/2022,Thursday,136929,109,63781,92750,5984,0.037640696,7474,109,4,0
2f813f636d,The rise of stealth parenting,The rise of stealth parenting,Grown & Flown Email Subscription,4/5/2022,Tuesday,136907,86,66001,91116,4910,0.02984191,5678,121,7,0
5a1fb0d917,A counselor's advice for teens with friend problems,A counselor's advice for teens with friend problems,Grown & Flown Email Subscription,4/3/2022,Sunday,135952,85,66818,93265,4886,0.029337514,7941,102,62,0
19ce78df1b,20 life skills I'm teaching my teen,20 life skills I'm teaching my teen,Grown & Flown Email Subscription,3/31/2022,Thursday,135999,83,68334,99142,5402,0.034249095,6519,123,6,0
2c375312ff,7 things I wish I knew before freshman year,7 things I wish I knew before freshman year,Grown & Flown Email Subscription,3/29/2022,Tuesday,136109,102,64797,91362,6729,0.039270038,8088,102,7,0
66cef729a6,You're invited (copy 01),A thank you to the college that rejected me,Grown & Flown Email Subscription,3/28/2022,Monday,76485,96,14053,17495,796,0.008836351,985,65,1,0
7e8798ba53,You're invited,You're invited,Grown & Flown Email Subscription,3/27/2022,Sunday,136310,119,65572,90032,2414,0.014971621,2977,125,3,0
d7fcdd31ab,How to get your teen to open up to you,How to get your teen to open up to you,Grown & Flown Email Subscription,3/24/2022,Thursday,136432,104,64181,89676,5247,0.028827534,6183,118,7,0
dafd90d4fb,How to take the sting out of college rejection,How to take the sting out of college rejection,Grown & Flown Email Subscription,3/22/2022,Tuesday,136528,3091,62857,86944,3827,0.023314373,4600,110,8,0
1386dccef0,I miss the little stuff the most,I miss the little stuff the most,Grown & Flown Email Subscription,3/20/2022,Sunday,136283,136,65255,90130,5402,0.031928724,6439,124,14,0
3f5f57ebeb,10 ways to understand the heart and soul of a college,10 ways to understand the heart and soul of a college,Grown & Flown Email Subscription,3/17/2022,Thursday,136292,145,62630,86814,4156,0.024546997,4930,114,7,0
369fe08378,5 things parents of seniors should know,5 things parents of seniors should know,Grown & Flown Email Subscription,3/15/2022,Tuesday,136237,154,63545,89298,7116,0.039005607,8340,104,13,0
03d5223001,The truth about college essays,The truth about college essays,Grown & Flown Email Subscription,3/13/2022,Sunday,135526,148,64486,89669,6827,0.042540147,8199,135,8,0
f1c84d00e3,My kid was dumped by her friends,My kid was dumped by her friends,Grown & Flown Email Subscription,3/10/2022,Thursday,135100,148,66430,93669,6712,0.039436244,8300,147,8,0
b4c39a5426,14 best questions to ask on campus tours,The 14 questions to ask on campus tours,Grown & Flown Email Subscription,3/8/2022,Tuesday,133045,2322,61090,90804,6878,0.03942688,8305,96,4,0
1635de3426,When the safety school becomes the dream school,When the safety school becomes the dream school,Grown & Flown Email Subscription,3/6/2022,Sunday,132301,182,62020,86800,4044,0.025007758,4600,127,6,0
957b03da2e,Surviving college tours: 5 tips you've never heard,Surviving college tours: 5 tips you've never heard,Grown & Flown Email Subscription,3/3/2022,Thursday,131770,182,60596,88869,7000,0.041097972,8114,104,4,0
d0b29797dc,Adulting 101: Life skills I'm teaching my teens,Adulting 101: Life skills I'm teaching my teens,Grown & Flown Email Subscription,3/1/2022,Tuesday,131477,140,60703,92019,5879,0.035306121,6980,102,6,0
9462dc60d0,"The problem with a ""dream school""","The problem with a ""dream school""",Grown & Flown Email Subscription,2/27/2022,Sunday,129829,148,60380,85751,7312,0.035764684,9315,113,2,0
99c73d6524,Why our son is signing a contract before college,Why our son is signing a contract before college,Grown & Flown Email Subscription,2/24/2022,Thursday,129118,137,59347,86803,6228,0.036230142,8223,89,3,0
86ee6d16f3,"Advice for college freshmen, from a professor","Advice for college freshmen, from a professor",Grown & Flown Email Subscription,2/22/2022,Tuesday,128748,139,56336,84446,6208,0.037843386,8769,106,3,0
876308e5ca,4 ways to navigate the teen mood swings,4 ways to navigate the teen mood swings,Grown & Flown Email Subscription,2/20/2022,Sunday,128388,133,61207,90134,4914,0.029441347,5815,190,4,0
0d47d11645,What not to bring to college,10 things NOT to bring to college,Grown & Flown Email Subscription,2/17/2022,Thursday,127838,142,60557,94216,10005,0.061121727,11511,143,3,0
9d26f69911,33 adulting skills your teen needs to know,33 adulting skills your teen needs to know,Grown & Flown Email Subscription,2/15/2022,Tuesday,127439,141,57580,88692,7307,0.046693585,8608,103,7,0
ccde8cd87e,College gets better — here's how I turned it around,College gets better — here's how I turned it around,Grown & Flown Email Subscription,2/13/2022,Sunday,126446,119,58131,84427,6647,0.040118106,7904,112,9,0
4b71e07c2e,25 things every teen needs to know before leaving home,What every teen needs to know before leaving home,Grown & Flown Email Subscription,2/10/2022,Thursday,125860,134,56798,83419,4624,0.030176734,5429,107,9,0
aa946a9b83,My son was rejected by his dream school,My son was rejected by his dream school,Grown & Flown Email Subscription,2/8/2022,Tuesday,125382,131,58931,85994,6346,0.039768146,7351,139,4,0
3ff5698361,How to help when your kid is an early bloomer,How to help when your kid is an early bloomer,Grown & Flown Email Subscription,2/6/2022,Sunday,124496,148,59441,81913,2921,0.018842281,3502,161,8,0
9cd24305a7,I was a wild teen — here's what I'm telling my kids,I was a wild teen — here's what I'm telling my kids,Grown & Flown Email Subscription,2/3/2022,Thursday,123678,130,55821,80088,4128,0.028677113,4879,119,1,0
77693da1f9,Valentine's Day gift ideas,Valentine's Day gift ideas,Grown & Flown Email Subscription,2/1/2022,Tuesday,123242,121,55161,78925,4972,0.031253807,6401,112,9,0
b5e710aab7,Why teens need to learn to value your time,Why teens need to learn to value your time,Grown & Flown Email Subscription,1/30/2022,Sunday,121874,105,57475,84654,5655,0.036651364,6732,132,2,0
58c088d995,My son doesn't have a big social life,My son doesn't have a big social life,Grown & Flown Email Subscription,1/27/2022,Thursday,121084,103,57088,82427,5325,0.035807276,8181,139,6,0
804d74ac56,How I stopped annoying my teens,How I stopped annoying my teens,Grown & Flown Email Subscription,1/25/2022,Tuesday,120804,94,55538,81964,6583,0.042573109,7777,134,2,0
f232869757,10 things college students miss the most,10 things college students miss the most,Grown & Flown Email Subscription,1/23/2022,Sunday,120427,138,57848,84416,8846,0.056513896,10056,134,2,0
fe959660e6,A college president's college selection advice,A college president's college selection advice,Grown & Flown Email Subscription,1/20/2022,Thursday,120248,115,55082,81578,6230,0.04122098,7444,135,4,0
0a7c9e9861,The worst stage of parenting: The wallet years,The worst stage of parenting: The wallet years,Grown & Flown Email Subscription,1/18/2022,Tuesday,120233,111,55150,81834,8194,0.050964852,9754,143,6,0
247cd8c3cc,Why demonstrated interest might help you get into college,Why demonstrated interest might help you get into college,Grown & Flown Email Subscription,1/16/2022,Sunday,119694,109,55500,78910,3518,0.023405946,4367,199,7,0
b079bb2ac6,How to know if your teen is prepared for college,How to know if your teen is prepared for college,Grown & Flown Email Subscription,1/13/2022,Thursday,119338,88,53313,78299,4899,0.02912369,5878,142,5,0
6c0f121537,This is the only time we will make this offer,This is the only time we will make this offer,Grown & Flown Email Subscription,1/12/2022,Wednesday,119426,102,56557,78469,565,0.004039422,690,146,4,0
457b132072,My husband called my kid lazy — here's how I reacted,My husband called my kid lazy — here's how I reacted,Grown & Flown Email Subscription,1/11/2022,Tuesday,119411,149,55959,80939,6073,0.039333568,8958,159,4,0
2431719226,9 things not to say to your teen at home,9 things NOT to say to your teen at home,Grown & Flown Email Subscription,1/9/2022,Sunday,119176,122,55915,81533,9195,0.054303089,11453,144,3,0
e579575650,10 things I should've taught my kids BEFORE they left home,10 things I should've taught my kids BEFORE they left home,Grown & Flown Email Subscription,1/6/2022,Thursday,119034,138,55941,85993,9774,0.063584982,11751,140,3,0
852bc4cb84,10 things you need to tell your adult children,10 things you need to tell your adult children,Grown & Flown Email Subscription,1/4/2022,Tuesday,119023,161,54591,82380,7791,0.053002642,9245,173,7,0
6d9eac1394,Here's to a new year — & everything we've learned,Here's to a new year — & everything we've learned,Grown & Flown Email Subscription,1/2/2022,Sunday,117918,150,53513,74116,2571,0.01329733,3016,260,7,0
3736079206,50 things teens can do at 18,50 things teens can do at 18,Grown & Flown Email Subscription,12/28/2021,Tuesday,117572,121,53064,80572,7604,0.049339725,9129,138,6,0
2ed0f7ed90,My daughter was rejected by the college of her dreams,My daughter was rejected by the college of her dreams,Grown & Flown Email Subscription,12/26/2021,Sunday,117524,118,60488,86783,7288,0.046743778,8824,166,5,0
670d842d81,6 things parents need to know about winter break,6 things parents need to know about winter break,Grown & Flown Email Subscription,12/23/2021,Thursday,117331,99,52102,74083,6511,0.035237819,7637,88,2,0
3f80c84d13,Why it's time for my son to leave,Why it's time for my son to leave,Grown & Flown Email Subscription,12/21/2021,Tuesday,116874,92,51964,74605,7415,0.042849069,8915,81,5,0
0334bb8541,9 things students need to do before the holidays,9 things students need to do before the holidays,Grown & Flown Email Subscription,12/19/2021,Sunday,116662,91,56211,79709,5774,0.032066294,8044,102,3,0
1c919a8004,Last Minute Christmas Gifts for Every Budget,Last Minute Christmas Gifts for Every Budget,Grown & Flown Email Subscription,12/18/2021,Saturday,116654,106,56854,78277,5479,0.027241995,8070,83,1,0
5fbef20628,Kids: I promise not to be a pain about the holidays,5 promises I have for my kids this holiday,Grown & Flown Email Subscription,12/16/2021,Thursday,116626,100,49826,70473,4548,0.030774248,5428,80,2,0
8a42124297,34 super-popular gifts for teen boys,34 super-popular gifts for teen boys,Grown & Flown Email Subscription,12/14/2021,Tuesday,116610,108,48993,70640,6094,0.040823334,7552,95,5,0
935a02864b,15 things this mom wants for Christmas,15 things this mom wants for Christmas,Grown & Flown Email Subscription,12/12/2021,Sunday,116465,114,50236,70116,6236,0.042715576,7428,107,4,0
